REGION,ZONE,Target,Month,Type,Business Type
NORTH,DELHI NCR,3.6,Jan,Region,RETAIL
NORTH,PUNJAB,1.2,Jan,Region,RETAIL
NORTH,RAJASTHAN,0.9,Jan,Region,RETAIL
NORTH,UTTAR PRADESH,1.4,Jan,Region,RETAIL
EAST + CENTRAL,EAST INDIA,3.1,Jan,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,0.8,Jan,Region,RETAIL
APTS,AP & TS,5.3,Jan,Region,RETAIL
KTNK,TAMIL NADU,3.6,Jan,Region,RETAIL
KTNK,KERALA,0.4,Jan,Region,RETAIL
KTNK,KARNATAKA,7.9,Jan,Region,RETAIL
GUJARAT,GUJARAT,1.6,Jan,Region,RETAIL
WEST,WEST ONE,4,Jan,Region,RETAIL
WEST,WEST TWO,2.7,Jan,Region,RETAIL
NRI,NRI,0.1,Jan,Region,RETAIL
CALL CENTER,CALL CENTER,6.89,Jan,Region,CALL CENTER
NORTH,DELHI NCR,4.1,Feb,Region,RETAIL
NORTH,PUNJAB,1.5,Feb,Region,RETAIL
NORTH,RAJASTHAN,0.9,Feb,Region,RETAIL
NORTH,UTTAR PRADESH,1.4,Feb,Region,RETAIL
EAST + CENTRAL,EAST INDIA,3.7,Feb,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,1.6,Feb,Region,RETAIL
APTS,AP & TS,3.7,Feb,Region,RETAIL
KTNK,TAMIL NADU,3.5,Feb,Region,RETAIL
KTNK,KERALA,0.9,Feb,Region,RETAIL
KTNK,KARNATAKA,8,Feb,Region,RETAIL
GUJARAT,GUJARAT,2.1,Feb,Region,RETAIL
WEST,WEST ONE,4.3,Feb,Region,RETAIL
WEST,WEST TWO,3.2,Feb,Region,RETAIL
NRI,NRI,0,Feb,Region,RETAIL
CALL CENTER,CALL CENTER,8.91,Feb,Region,CALL CENTER
NORTH,DELHI NCR,7,Mar,Region,RETAIL
NORTH,PUNJAB,2.2,Mar,Region,RETAIL
NORTH,RAJASTHAN,2.9,Mar,Region,RETAIL
NORTH,UTTAR PRADESH,2.2,Mar,Region,RETAIL
EAST + CENTRAL,EAST INDIA,9.2,Mar,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,2.7,Mar,Region,RETAIL
APTS,AP & TS,8.9,Mar,Region,RETAIL
KTNK,TAMIL NADU,9.9,Mar,Region,RETAIL
KTNK,KERALA,1.3,Mar,Region,RETAIL
KTNK,KARNATAKA,20.3,Mar,Region,RETAIL
GUJARAT,GUJARAT,2.9,Mar,Region,RETAIL
WEST,WEST ONE,7.2,Mar,Region,RETAIL
WEST,WEST TWO,4.5,Mar,Region,RETAIL
NRI,NRI,0.7,Mar,Region,RETAIL
CALL CENTER,CALL CENTER,16,Mar,Region,CALL CENTER
NORTH,DELHI NCR,6.3,Apr,Region,RETAIL
NORTH,PUNJAB,2,Apr,Region,RETAIL
NORTH,RAJASTHAN,2.9,Apr,Region,RETAIL
NORTH,UTTAR PRADESH,1.8,Apr,Region,RETAIL
EAST + CENTRAL,EAST INDIA,8.2,Apr,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,3.3,Apr,Region,RETAIL
APTS,AP & TS,11.3,Apr,Region,RETAIL
KTNK,TAMIL NADU,10.8,Apr,Region,RETAIL
KTNK,KERALA,2.2,Apr,Region,RETAIL
KTNK,KARNATAKA,27.3,Apr,Region,RETAIL
GUJARAT,GUJARAT,4.6,Apr,Region,RETAIL
WEST,WEST ONE,6.8,Apr,Region,RETAIL
WEST,WEST TWO,5.4,Apr,Region,RETAIL
NRI,NRI,1,Apr,Region,RETAIL
CALL CENTER,CALL CENTER,20.63,Apr,Region,CALL CENTER
NORTH,DELHI NCR,14.4,May,Region,RETAIL
NORTH,PUNJAB,3.3,May,Region,RETAIL
NORTH,RAJASTHAN,4.8,May,Region,RETAIL
NORTH,UTTAR PRADESH,5.9,May,Region,RETAIL
EAST + CENTRAL,EAST INDIA,20.4,May,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,6.5,May,Region,RETAIL
APTS,AP & TS,23,May,Region,RETAIL
KTNK,TAMIL NADU,26.6,May,Region,RETAIL
KTNK,KERALA,3.8,May,Region,RETAIL
KTNK,KARNATAKA,46.1,May,Region,RETAIL
GUJARAT,GUJARAT,15.8,May,Region,RETAIL
WEST,WEST ONE,19.7,May,Region,RETAIL
WEST,WEST TWO,12.6,May,Region,RETAIL
NRI,NRI,1.9,May,Region,RETAIL
CALL CENTER,CALL CENTER,43,May,Region,CALL CENTER
NORTH,DELHI NCR,21.1,Jun,Region,RETAIL
NORTH,PUNJAB,8.6,Jun,Region,RETAIL
NORTH,RAJASTHAN,6,Jun,Region,RETAIL
NORTH,UTTAR PRADESH,8.3,Jun,Region,RETAIL
EAST + CENTRAL,EAST INDIA,12.2,Jun,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,4.5,Jun,Region,RETAIL
APTS,AP & TS,11.8,Jun,Region,RETAIL
KTNK,TAMIL NADU,10.9,Jun,Region,RETAIL
KTNK,KERALA,2.7,Jun,Region,RETAIL
KTNK,KARNATAKA,23.4,Jun,Region,RETAIL
GUJARAT,GUJARAT,10.3,Jun,Region,RETAIL
WEST,WEST ONE,11.4,Jun,Region,RETAIL
WEST,WEST TWO,7.6,Jun,Region,RETAIL
NRI,NRI,4.9,Jun,Region,RETAIL
CALL CENTER,CALL CENTER,32.84,Jun,Region,CALL CENTER
NORTH,DELHI NCR,8.8,Jul,Region,RETAIL
NORTH,PUNJAB,4.55,Jul,Region,RETAIL
NORTH,RAJASTHAN,3.2,Jul,Region,RETAIL
NORTH,UTTAR PRADESH,2.65,Jul,Region,RETAIL
EAST + CENTRAL,EAST INDIA,13.3,Jul,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,3.1,Jul,Region,RETAIL
APTS,AP & TS,10.6,Jul,Region,RETAIL
KTNK,TAMIL NADU,6.1,Jul,Region,RETAIL
KTNK,KERALA,1.7,Jul,Region,RETAIL
KTNK,KARNATAKA,19.6,Jul,Region,RETAIL
GUJARAT,GUJARAT,4,Jul,Region,RETAIL
WEST,WEST ONE,7.1,Jul,Region,RETAIL
WEST,WEST TWO,4.6,Jul,Region,RETAIL
NRI,NRI,3.9,Jul,Region,RETAIL
